magazin,nivel,scor,platforma,comision_max_pct,are_promotie,cod_cupon,in_feed_produse,pagina_brand,link_afiliat_real,sales_number
sidi.com,LOW,8.1,impact,6.0,0,0,0,0,1,0
m.unice.com,LOW,8.1,impact,6.0,0,0,0,0,1,0
vilagale.com,LOW,8.1,impact,6.0,0,0,0,0,1,0
belffin.com,LOW,8.1,impact,6.0,0,0,0,0,1,0
trybinge.tv,LOW,8.0,impact,8.0,0,0,0,0,1,0
techstar.ro,LOW,8.0,profitshare,15.0,0,0,0,0,1,0
brico.ro,LOW,8.0,2performant,6.0,0,0,0,1,1,0
eufy.com,LOW,7.9,impact,10.0,0,0,0,0,1,0
auraligned.com,ASCUNS,7.9,impact,5.0,0,0,0,0,0,0
danubiushotels.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
shop.doreljuvenile.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
esdcodes.com,ASCUNS,7.9,impact,5.0,0,0,0,0,0,0
flowerknows.co,ASCUNS,7.9,impact,5.0,0,0,0,0,0,0
lisbonheritagehotels.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
mynextbike.co.uk,ASCUNS,7.9,impact,5.0,0,0,0,0,0,0
navimow.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
nobis.com,ASCUNS,7.9,impact,5.0,0,0,0,0,0,0
store.pongbotsports.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
reverencehotels.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
rowabi.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
litime.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
stuhrling.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
trugrit-fitness.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
vevor.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
awolvision.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
autofull.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
ekrcover.com,LOW,7.9,impact,5.0,0,0,0,0,1,0
